Employee_ID,Name,Department,Years_Experience,Current_Project_ID,Location,Experience_Text,Skills,Experience_Level,All_Skills,Has_Current_Project
E101,Mariah Brennan,AI Research,14.5,,Pune,"Worked on projects involving Azure, Blockchain, and Microservices. Delivered solutions for finance domain.",azure blockchain microservices involving azure blockchain microservices,Expert,azure blockchain microservices involving azure blockchain microservices,False
E102,Thomas Terry,DevOps,2.2,,Pune,"Worked on projects involving REST APIs, Data Engineering, and DevOps Practices. Delivered solutions for retail domain.",rest apis data engineering devops practices involving rest apis data engineering devops practices,Junior,rest apis data engineering devops practices involving rest apis data engineering devops practices,False
E103,Vanessa Jackson MD,Software Development,3.9,,Mumbai,"Worked on projects involving Data Visualization, Penetration Testing, and UI/UX Design. Delivered solutions for retail domain.",data visualization penetration testing ui/ux design involving data visualization penetration testing ui/ux design,Mid-Level,data visualization penetration testing ui/ux design involving data visualization penetration testing ui/ux design,False
E104,Lori Sanchez,AI Research,8.3,,Chennai,"Worked on projects involving GraphQL, Agile, and Java. Delivered solutions for retail domain.",graphql agile java involving graphql agile java,Senior,graphql agile java involving graphql agile java,False
E105,Nicole Warner,Data Science,6.0,,Mumbai,"Worked on projects involving Java, Azure, and Data Lake Implementation. Delivered solutions for retail domain.",java azure data lake implementation involving java azure data lake implementation,Mid-Level,java azure data lake implementation involving java azure data lake implementation,False
E106,Valerie Stevens,Software Development,7.9,,Chennai,"Worked on projects involving Scrum Methodology, Network Security, and DevOps Practices. Delivered solutions for healthcare domain.",scrum methodology network security devops practices involving scrum methodology network security devops practices,Senior,scrum methodology network security devops practices involving scrum methodology network security devops practices,False
E107,Cynthia Allen DVM,DevOps,11.6,,Chennai,"Worked on projects involving Network Security, IoT, and Data Privacy Compliance. Delivered solutions for healthcare domain.",network security iot data privacy compliance involving network security iot data privacy compliance,Senior,network security iot data privacy compliance involving network security iot data privacy compliance,False
E108,Brian Sanchez,Data Science,8.0,,Chennai,"Worked on projects involving Container Orchestration, Data Governance, and Data Visualization. Delivered solutions for telecom domain.",container orchestration data governance data visualization involving container orchestration data governance data visualization,Senior,container orchestration data governance data visualization involving container orchestration data governance data visualization,False
E109,Walter Huffman,Cybersecurity,13.5,,Pune,"Worked on projects involving Machine Learning, Serverless Architecture, and TensorFlow. Delivered solutions for insurance domain.",machine learning serverless architecture tensorflow involving machine learning serverless architecture tensorflow,Expert,machine learning serverless architecture tensorflow involving machine learning serverless architecture tensorflow,False
E110,Timothy Valdez,DevOps,11.5,,Chennai,"Worked on projects involving Mobile Development, Node.js, and Quantum Computing. Delivered solutions for finance domain.",mobile development node involving mobile development node,Senior,mobile development node involving mobile development node,False
E111,Tamara Allen,Software Development,2.1,,Pune,"Worked on projects involving DevOps Practices, Blockchain, and Cloud Security. Delivered solutions for insurance domain.",devops practices blockchain cloud security involving devops practices blockchain cloud security,Junior,devops practices blockchain cloud security involving devops practices blockchain cloud security,False
E112,Elizabeth Osborne,Cloud Engineering,10.6,,Mumbai,"Worked on projects involving Mobile Development, Python, and Machine Learning. Delivered solutions for insurance domain.",mobile development python machine learning involving mobile development python machine learning,Senior,mobile development python machine learning involving mobile development python machine learning,False
